order_id,customer_id,order_date,channel,region,product_category,items,revenue_usd,discount_pct,revenue_after_discount_usd,payment_method,returned
ORD-0105,C10908,2026-02-09,web,APAC,electronics,1,339.33,0.00,339.33,credit_card,false
ORD-0027,C10909,2026-02-10,web,NA,electronics,1,345.85,0.00,345.85,credit_card,false
ORD-0078,C10054,2026-02-11,web,EMEA,home_goods,1,160.90,0.12,141.59,paypal,false
ORD-0186,C10530,2026-02-11,marketplace,NA,books,2,49.97,0.00,49.97,bnpl,false
ORD-0176,C10248,2026-02-12,web,NA,electronics,1,334.62,0.00,334.62,bnpl,false
ORD-0122,C10252,2026-02-13,web,NA,apparel,1,58.31,0.00,58.31,paypal,false
ORD-0038,C10782,2026-02-14,web,APAC,apparel,1,67.29,0.15,57.20,credit_card,true
ORD-0047,C10634,2026-02-14,mobile_app,EMEA,books,1,29.36,,29.36,gift_card,false
ORD-0197,C10206,2026-02-14,mobile_app,EMEA,apparel,1,98.94,0.00,98.94,credit_card,false
ORD-0195,C10371,2026-02-15,mobile_app,LATAM,electronics,1,158.95,0.38,98.55,credit_card,false
ORD-0172,C10393,2026-02-16,mobile_app,NA,electronics,1,154.16,0.37,97.12,credit_card,true
ORD-0180,C10822,2026-02-16,web,NA,electronics,1,545.50,0.00,545.50,credit_card,false
ORD-0063,C10863,2026-02-19,web,NA,apparel,1,115.09,0.00,115.09,credit_card,false
ORD-0144,C10612,2026-02-20,mobile_app,EMEA,home_goods,1,116.63,0.00,116.63,credit_card,false
ORD-0163,C10696,2026-02-20,web,NA,electronics,1,181.56,0.00,181.56,paypal,false
ORD-0174,C10388,2026-02-21,mobile_app,EMEA,books,2,94.96,0.14,81.67,bnpl,false
ORD-0025,C10134,2026-02-22,web,EMEA,beauty,1,58.80,0.00,58.80,credit_card,false
ORD-0151,C10329,2026-02-22,mobile_app,NA,books,2,58.93,0.00,58.93,credit_card,false
ORD-0136,C10035,2026-02-23,web,EMEA,beauty,2,144.40,0.10,129.96,paypal,false
ORD-0142,C10830,2026-02-23,web,EMEA,electronics,1,582.16,0.00,582.16,credit_card,true
ORD-0067,C10708,2026-02-24,web,LATAM,books,1,36.90,0.10,33.21,credit_card,false
ORD-0108,C10711,2026-02-24,marketplace,NA,home_goods,2,338.26,0.00,338.26,credit_card,false
ORD-0182,C10449,2026-02-24,web,EMEA,electronics,1,204.15,0.00,204.15,paypal,false
ORD-0005,C10151,2026-02-25,mobile_app,NA,electronics,1,362.37,0.17,300.77,credit_card,false
ORD-0130,C10562,2026-02-26,web,APAC,books,1,53.64,0.00,53.64,credit_card,false
ORD-0026,C10747,2026-02-27,marketplace,EMEA,electronics,1,325.36,0.08,299.33,credit_card,false
ORD-0183,C10616,2026-02-27,web,APAC,books,2,66.72,0.00,66.72,credit_card,false
ORD-0193,C10218,2026-02-27,web,EMEA,apparel,1,64.55,0.00,64.55,paypal,false
ORD-0200,C10188,2026-02-27,web,EMEA,apparel,1,156.10,0.00,156.10,credit_card,false
ORD-0094,C10020,2026-02-28,web,EMEA,home_goods,1,49.63,0.00,49.63,gift_card,false
ORD-0126,C10297,2026-02-28,web,APAC,apparel,1,58.19,0.00,58.19,credit_card,false
ORD-0194,C10709,2026-02-28,web,NA,home_goods,2,198.18,0.10,178.36,credit_card,false
ORD-0097,C10886,2026-03-01,web,NA,beauty,1,50.12,0.06,47.11,gift_card,false
ORD-0125,C10096,2026-03-01,web,APAC,apparel,1,41.53,0.00,41.53,credit_card,false
ORD-0132,C10281,2026-03-01,web,NA,electronics,1,421.06,0.00,421.06,paypal,false
ORD-0127,C10109,2026-03-03,web,NA,home_goods,1,176.59,0.00,176.59,credit_card,false
ORD-0165,C10960,2026-03-04,web,NA,home_goods,1,157.64,0.00,157.64,credit_card,false
ORD-0077,C10361,2026-03-05,web,NA,electronics,1,423.86,0.00,423.86,paypal,true
ORD-0121,C10958,2026-03-05,marketplace,NA,electronics,1,386.64,0.00,386.64,credit_card,false
ORD-0032,C10104,2026-03-06,web,APAC,apparel,2,175.98,0.00,175.98,credit_card,false
ORD-0085,C10063,2026-03-06,marketplace,APAC,electronics,4,1073.90,0.13,934.29,paypal,false
ORD-0033,C10733,2026-03-07,mobile_app,NA,apparel,2,103.73,0.00,103.73,credit_card,false
ORD-0162,C10372,2026-03-07,mobile_app,EMEA,home_goods,2,382.36,0.00,382.36,paypal,false
ORD-0156,C10771,2026-03-08,mobile_app,EMEA,beauty,3,128.36,0.00,128.36,credit_card,false
ORD-0111,C10590,2026-03-09,web,EMEA,books,1,8.49,0.14,7.30,credit_card,false
ORD-0011,C10284,2026-03-10,mobile_app,NA,beauty,1,23.40,0.00,23.40,credit_card,false
ORD-0083,C10425,2026-03-10,marketplace,APAC,electronics,3,1127.04,0.00,1127.04,paypal,false
ORD-0179,C10611,2026-03-10,web,EMEA,home_goods,4,657.58,0.00,657.58,credit_card,false
ORD-0003,C10364,2026-03-12,marketplace,EMEA,electronics,1,392.33,0.00,392.33,credit_card,false
ORD-0035,C10294,2026-03-12,mobile_app,EMEA,electronics,1,607.67,0.20,486.14,paypal,true
ORD-0099,C10003,2026-03-12,web,NA,apparel,4,241.30,0.13,209.93,gift_card,false
ORD-0022,C10130,2026-03-13,mobile_app,NA,apparel,1,101.73,0.00,101.73,credit_card,false
ORD-0129,C10661,2026-03-13,web,NA,electronics,1,266.38,0.00,266.38,credit_card,false
ORD-0192,C10181,2026-03-13,mobile_app,NA,books,1,37.83,0.17,31.40,credit_card,false
ORD-0196,C10120,2026-03-13,mobile_app,EMEA,electronics,2,673.94,0.34,444.80,gift_card,false
ORD-0081,C10623,2026-03-14,mobile_app,NA,apparel,1,112.69,0.14,96.91,credit_card,true
ORD-0107,C10634,2026-03-14,web,EMEA,beauty,2,96.26,0.00,96.26,credit_card,false
ORD-0076,C10802,2026-03-15,web,LATAM,apparel,1,158.73,0.00,158.73,credit_card,false
ORD-0164,C10751,2026-03-15,web,NA,home_goods,1,78.35,0.00,78.35,bnpl,false
ORD-0119,C10089,2026-03-16,mobile_app,NA,home_goods,1,122.95,0.00,122.95,credit_card,false
ORD-0190,C10814,2026-03-16,mobile_app,NA,home_goods,1,120.57,0.00,120.57,paypal,false
ORD-0120,C10973,2026-03-17,marketplace,APAC,apparel,1,41.03,0.00,41.03,credit_card,false
ORD-0138,C10427,2026-03-17,marketplace,EMEA,electronics,1,394.89,0.00,394.89,credit_card,false
ORD-0141,C10186,2026-03-18,web,APAC,beauty,1,91.03,0.00,91.03,credit_card,false
ORD-0191,C10159,2026-03-18,web,NA,home_goods,1,165.99,0.00,165.99,credit_card,false
ORD-0043,C10114,2026-03-20,marketplace,NA,electronics,1,349.40,0.00,349.40,paypal,false
ORD-0118,C10316,2026-03-20,web,NA,home_goods,1,152.69,0.06,143.53,credit_card,false
ORD-0149,C10050,2026-03-21,web,NA,beauty,1,40.72,0.05,38.68,paypal,false
ORD-0037,C10756,2026-03-22,web,EMEA,home_goods,1,93.42,0.00,93.42,paypal,false
ORD-0114,C10607,2026-03-22,web,APAC,electronics,1,441.76,0.00,441.76,credit_card,false
ORD-0020,C10094,2026-03-23,mobile_app,EMEA,books,1,22.62,0.00,22.62,gift_card,false
ORD-0104,C10224,2026-03-23,web,APAC,electronics,1,370.71,0.11,329.93,credit_card,false
ORD-0135,C10663,2026-03-23,web,NA,beauty,2,109.25,0.00,109.25,paypal,false
ORD-0152,C10312,2026-03-23,web,NA,home_goods,1,178.58,0.00,178.58,credit_card,false
ORD-0041,C10439,2026-03-24,web,NA,beauty,2,172.28,0.00,172.28,credit_card,false
ORD-0062,C10369,2026-03-24,web,EMEA,home_goods,2,77.31,0.00,77.31,credit_card,false
ORD-0082,C10648,2026-03-25,mobile_app,APAC,electronics,1,346.88,0.19,280.97,credit_card,false
ORD-0140,C10169,2026-03-25,web,APAC,apparel,2,305.24,0.00,305.24,credit_card,false
ORD-0168,C10185,2026-03-26,mobile_app,NA,apparel,1,63.60,0.18,52.15,credit_card,false
ORD-0178,C10419,2026-03-26,web,APAC,electronics,1,431.82,0.00,431.82,credit_card,false
ORD-0040,C10503,2026-03-27,web,LATAM,books,1,14.01,0.00,14.01,credit_card,false
ORD-0068,C10448,2026-03-28,mobile_app,NA,apparel,1,122.71,0.13,106.76,bnpl,false
ORD-0086,C10064,2026-03-29,mobile_app,EMEA,apparel,1,78.57,0.00,78.57,credit_card,false
ORD-0133,C10354,2026-03-29,web,EMEA,books,1,26.06,0.14,22.41,credit_card,false
ORD-0101,C10422,2026-03-30,web,LATAM,home_goods,1,145.96,0.00,145.96,credit_card,false
ORD-0106,C10189,2026-03-30,phone,EMEA,beauty,2,101.69,0.00,101.69,credit_card,false
ORD-0051,C10633,2026-03-31,web,NA,apparel,1,20.96,0.00,20.96,credit_card,false
ORD-0042,C10750,2026-04-01,web,APAC,apparel,1,35.79,0.00,35.79,credit_card,false
ORD-0070,C10240,2026-04-01,mobile_app,EMEA,beauty,1,49.40,0.00,49.40,credit_card,false
ORD-0087,C10863,2026-04-01,marketplace,NA,apparel,1,89.82,0.00,89.82,bnpl,false
ORD-0199,C10716,2026-04-01,marketplace,EMEA,apparel,1,49.15,0.00,49.15,credit_card,false
ORD-0088,C10757,2026-04-02,marketplace,NA,beauty,7,307.45,0.07,285.93,paypal,true
ORD-0023,C10161,2026-04-03,web,NA,apparel,1,55.79,0.00,55.79,credit_card,false
ORD-0039,C10788,2026-04-03,web,NA,home_goods,1,135.25,0.00,135.25,credit_card,false
ORD-0157,C10563,2026-04-03,mobile_app,NA,apparel,3,208.59,0.00,208.59,paypal,false
ORD-0181,C10933,2026-04-03,mobile_app,APAC,electronics,1,297.57,0.09,270.79,credit_card,true
ORD-0102,C10218,2026-04-04,web,EMEA,electronics,1,595.97,0.00,595.97,credit_card,false
ORD-0001,C10432,2026-04-06,phone,EMEA,apparel,1,69.25,0.00,69.25,credit_card,false
ORD-0056,C10046,2026-04-06,web,NA,apparel,3,360.58,0.10,324.52,credit_card,false
ORD-0017,C10559,2026-04-07,web,EMEA,electronics,1,287.93,0.00,287.93,credit_card,false
ORD-0075,C10848,2026-04-07,web,APAC,electronics,1,302.49,0.00,302.49,credit_card,false
ORD-0166,C10122,2026-04-07,web,NA,electronics,4,754.96,0.00,754.96,credit_card,false
ORD-0048,C10674,2026-04-09,marketplace,NA,home_goods,1,46.78,0.00,46.78,credit_card,false
ORD-0069,C10064,2026-04-09,mobile_app,EMEA,electronics,3,695.56,0.11,619.05,credit_card,false
ORD-0008,C10644,2026-04-10,web,NA,home_goods,1,121.72,0.15,103.46,paypal,false
ORD-0092,C10223,2026-04-10,web,APAC,apparel,2,247.67,0.00,247.67,bnpl,false
ORD-0060,C10915,2026-04-11,mobile_app,NA,home_goods,1,103.01,0.00,103.01,paypal,false
ORD-0066,C10514,2026-04-12,marketplace,APAC,beauty,1,69.30,0.20,55.44,credit_card,false
ORD-0160,C10015,2026-04-15,web,APAC,electronics,1,413.57,0.00,413.57,credit_card,false
ORD-0185,C10205,2026-04-15,web,NA,beauty,3,94.19,0.14,81.00,credit_card,false
ORD-0109,C10913,2026-04-16,web,APAC,home_goods,3,273.07,0.00,273.07,credit_card,false
ORD-0007,C10765,2026-04-17,web,NA,books,1,22.97,0.11,20.44,credit_card,false
ORD-0065,C10884,2026-04-17,mobile_app,NA,electronics,2,771.13,0.28,555.21,paypal,true
ORD-0100,C10009,2026-04-17,phone,NA,electronics,1,309.11,0.00,309.11,credit_card,false
ORD-0187,C10599,2026-04-18,web,NA,home_goods,3,670.06,0.00,670.06,paypal,false
ORD-0014,C10794,2026-04-21,web,NA,electronics,1,285.07,0.00,285.07,credit_card,true
ORD-0050,C10307,2026-04-21,web,APAC,apparel,2,124.19,0.07,115.50,credit_card,false
ORD-0059,C10913,2026-04-21,phone,NA,beauty,2,114.03,0.00,114.03,credit_card,false
ORD-0058,C10469,2026-04-23,mobile_app,APAC,apparel,1,105.97,0.00,105.97,paypal,true
ORD-0096,C10449,2026-04-23,mobile_app,NA,electronics,1,326.77,0.00,326.77,credit_card,true
ORD-0116,C10491,2026-04-23,mobile_app,APAC,beauty,3,163.09,0.15,138.63,credit_card,false
ORD-0184,C10247,2026-04-25,mobile_app,NA,home_goods,4,796.74,0.00,796.74,credit_card,false
ORD-0024,C10323,2026-04-26,web,APAC,home_goods,3,128.89,0.00,128.89,paypal,false
ORD-0045,C10906,2026-04-27,marketplace,NA,electronics,1,499.19,0.00,499.19,credit_card,false
ORD-0098,C10060,2026-04-27,web,NA,apparel,1,93.85,0.00,93.85,bnpl,false
ORD-0161,C10811,2026-04-27,mobile_app,EMEA,electronics,1,391.27,0.00,391.27,gift_card,false
ORD-0128,C10768,2026-04-28,web,EMEA,apparel,3,269.60,0.00,269.60,credit_card,false
ORD-0198,C10263,2026-04-29,phone,NA,home_goods,1,126.16,0.00,126.16,credit_card,false
ORD-0015,C10626,2026-04-30,marketplace,EMEA,electronics,1,312.95,0.00,312.95,paypal,true
ORD-0080,C10717,2026-04-30,mobile_app,APAC,beauty,1,42.45,0.17,35.23,gift_card,false
ORD-0143,C10161,2026-04-30,phone,APAC,apparel,1,95.07,0.00,95.07,gift_card,false
ORD-0016,C10187,2026-05-04,web,EMEA,apparel,1,112.64,0.00,112.64,credit_card,true
ORD-0057,C10074,2026-05-05,web,APAC,electronics,1,456.11,0.00,456.11,credit_card,false
ORD-0110,C10535,2026-05-05,mobile_app,APAC,apparel,3,179.21,0.15,152.33,paypal,true
ORD-0115,C10350,2026-05-05,web,NA,apparel,1,126.11,0.00,126.11,paypal,true
ORD-0147,C10384,2026-05-05,phone,NA,books,1,36.97,0.07,34.38,credit_card,false
ORD-0155,C10341,2026-05-05,mobile_app,APAC,electronics,1,189.45,0.32,128.83,credit_card,false
ORD-0029,C10271,2026-05-06,web,EMEA,beauty,1,48.18,0.00,48.18,credit_card,true
ORD-0071,C10393,2026-05-06,Mobile_App,APAC,home_goods,1,191.07,0.00,191.07,credit_card,false
ORD-0002,C10216,2026-05-07,mobile_app,EMEA,beauty,1,46.76,0.00,46.76,credit_card,true
ORD-0189,C10642,2026-05-07,web,NA,apparel,2,183.34,0.00,183.34,credit_card,false
ORD-0090,C10906,2026-05-09,mobile_app,NA,electronics,2,866.98,0.18,710.92,credit_card,false
ORD-0031,C10587,2026-05-10,web,NA,books,1,34.01,0.00,34.01,paypal,false
